314494, 38.144802600, -76.428491700, 0.03, 5.49, 19.13, 267.44
314694, 38.144802500, -76.428491800, 0.06, 5.44, 19.09, 267.38
314894, 38.144802400, -76.428491900, 0.08, 5.47, 19.07, 267.35
315094, 38.144802400, -76.428491900, 0.08, 5.64, 19.09, 267.33
315294, 38.144802300, -76.428491900, 0.08, 5.68, 19.07, 267.32
315494, 38.144802100, -76.428492000, 0.09, 5.54, 19.05, 267.29
315694, 38.144801900, -76.428492000, 0.07, 5.52, 19.05, 267.29
315894, 38.144801600, -76.428492200, 0.08, 5.55, 19.02, 267.30
316095, 38.144801500, -76.428492300, 0.07, 5.59, 19.00, 267.33
316294, 38.144801400, -76.428492400, 0.07, 5.52, 18.98, 267.34
316495, 38.144801400, -76.428492500, 0.04, 5.60, 18.97, 267.38
316695, 38.144801400, -76.428492600, 0.02, 5.49, 18.96, 267.40
316895, 38.144801600, -76.428492800, 0.02, 5.56, 18.94, 267.43
317095, 38.144802000, -76.428493000, 0.01, 5.75, 18.93, 267.49
317295, 38.144802300, -76.428492900, -0.03, 5.62, 18.93, 267.52
317495, 38.144802700, -76.428492800, -0.06, 5.79, 18.96, 267.58
317695, 38.144803000, -76.428492900, -0.06, 5.66, 18.93, 267.58
317894, 38.144803300, -76.428492900, -0.06, 5.83, 18.94, 267.60
318094, 38.144803700, -76.428493000, -0.06, 5.72, 18.93, 267.59
318294, 38.144803700, -76.428492800, -0.05, 5.82, 18.97, 267.60
318494, 38.144803900, -76.428492500, -0.06, 5.65, 18.97, 267.60
318695, 38.144804100, -76.428492200, -0.06, 5.77, 18.98, 267.62
318894, 38.144804200, -76.428491700, -0.05, 5.57, 18.98, 267.60
319095, 38.144804500, -76.428491500, -0.04, 5.75, 18.98, 267.62
319294, 38.144804700, -76.428491200, -0.05, 5.59, 18.97, 267.61
319494, 38.144804900, -76.428490900, -0.05, 5.68, 18.97, 267.61
319694, 38.144805200, -76.428490800, -0.07, 5.59, 18.94, 267.62
319894, 38.144805400, -76.428490700, -0.06, 5.67, 18.92, 267.64
320094, 38.144805700, -76.428490600, -0.08, 5.61, 18.90, 267.66
